Area,Year,Month,Time,Crime Type,Latitude,Longitude,Cluster
ATTUR LAYOUT,2023.0,8.0,,CHEATING,13.1,77.56,-1
AUSTIN TOWN CEMENT LANE,2023.0,8.0,,Karnataka State Local Act,12.961,77.6148,-1
AVVERAHALLI,2021.0,1.0,,Karnataka State Local Act,13.1065,77.4454,-1
AXA BUILDING,2021.0,7.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.921,77.6332,-1
AXA BUILDING,2021.0,2.0,,KIDNAPPING AND ABDUCTION,12.9227,77.6173,-1
Adde,2019.0,3.0,,KIDNAPPING AND ABDUCTION,13.1713,77.557,-1
Adde,2023.0,5.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2165,77.5527,-1
Adganahalli,2021.0,8.0,,THEFT,13.1713,77.5584,-1
Adharsha Nagar,2020.0,7.0,,COPY RIGHT ACT 1957,12.9596,77.5652,-1
Agara,2023.0,2.0,,CHEATING,13.0167,77.6134,-1
Akkipet Main Road,2024.0,1.0,,CYBER CRIME,12.9645,77.5645,-1
Allalasandra,2023.0,10.0,,POCSO,13.0968,77.5941,-1
Amarajyothinagar,2022.0,12.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9774,77.5186,-1
Anadanagara,2021.0,8.0,,THEFT,13.029,77.5891,-1
Andra line,2017.0,5.0,,THEFT,12.9799,77.6245,-1
Andra line,2017.0,6.0,,THEFT,12.9812,77.6303,-1
Andrahalli,2023.0,11.0,,THEFT,13.0086,77.4887,-1
Anjananagar,2024.0,2.0,,THEFT,12.9861,77.4884,-1
Anjanappa Garden,2022.0,12.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.964,77.5678,-1
Ashirvad Colony,2019.0,6.0,,CASES OF HURT,13.0387,77.6463,-1
Ashoknagar,2021.0,1.0,,CHEATING,12.9558,77.6117,-1
Ashoknagar,2022.0,4.0,,MISSING PERSON,12.9665,77.6099,-1
Attibele,2020.0,10.0,,THEFT,12.7761,77.7617,0
Attibele,2023.0,11.0,,THEFT,12.7746,77.7683,0
Attibele,2020.0,1.0,,THEFT,12.7892,77.7521,0
Attibele,2021.0,7.0,,THEFT,12.7567,77.774,0
Attibele,2022.0,8.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7795,77.7705,0
Attibele,2022.0,11.0,,BURGLARY - NIGHT,12.7556,77.7295,0
Attibele,2022.0,9.0,,THEFT,12.7783,77.7681,0
Attigupe,2023.0,11.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9619,77.5296,-1
Austin Town,2018.0,5.0,,THEFT,12.9618,77.6378,-1
Austin Town,2022.0,6.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9575,77.6156,-1
Avalahalli,2023.0,3.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1365,77.5678,-1
B B ROAD,2024.0,1.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9988,77.5843,-1
B Narayanapura,2024.0,2.0,,CYBER CRIME,12.9968,77.693,-1
B Narayanapura,2017.0,7.0,,THEFT,12.9973,77.691,-1
BADAKANAPALYA,2022.0,1.0,,BURGLARY - NIGHT,12.9991,77.4703,-1
BAGALUR VILLAGE,2023.0,11.0,,MISSING PERSON,13.1465,77.6587,-1
BAHUBALINAGARA,2018.0,9.0,,MISCHIEF,13.0466,77.5442,-1
BAHUBALINAGARA,2023.0,9.0,,CHEATING,13.0449,77.5504,-1
BAHUBALINAGARA,2018.0,4.0,,BURGLARY - NIGHT,13.0439,77.5485,-1
BALAGARANAHALLI,2023.0,3.0,,CRIMINAL TRESPASS,12.7952,77.7295,-1
BALAGARANAHALLI,2023.0,11.0,,MISSING PERSON,12.787,77.7355,-1
BALAGARANAHALLI,2022.0,5.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7923,77.7273,-1
BALAGARANAHALLI,2020.0,8.0,,CRIMINAL TRESPASS,12.7668,77.7535,-1
BALAJI NARSING HOME,2017.0,8.0,,CrPC,13.0515,77.5524,-1
BALAJI NARSING HOME,2017.0,10.0,,MISSING PERSON,13.0415,77.5518,-1
BALEPET CIRCLE TO R.T STREET PUTTPATH,2024.0,1.0,,MISSING PERSON,12.9715,77.5774,-1
BALEPET CIRCLE TO R.T STREET PUTTPATH,2018.0,7.0,,THEFT,12.9686,77.5748,-1
BAMBOO BAZAAR,2018.0,10.0,,ROBBERY,12.9639,77.5772,-1
BAMBOO BAZAAR,2018.0,1.0,,ATTEMPT TO MURDER,12.9628,77.5781,-1
BANAGIRI NAGAR,2019.0,5.0,,THEFT,12.9257,77.5597,-1
BANDIKODIGEHALLI VILLAGE,2023.0,11.0,,THEFT,13.1791,77.7234,-1
BANKCOLONY,2023.0,11.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9239,77.5531,-1
BAPOOJI LAYOUT,2017.0,1.0,,THEFT,12.9709,77.5298,-1
BASAVALINGAPPA LAYOUT,2024.0,1.0,,KIDNAPPING AND ABDUCTION,13.0733,77.6328,-1
BASAVALINGAPPA LAYOUT,2024.0,1.0,,THEFT,13.0681,77.6269,-1
BASAVALINGAPPA LAYOUT,2024.0,2.0,,THEFT,13.0754,77.6334,-1
BASAVESHWARNAGARA EIGTH B MAIN TO MANJUNATHNAGAR NINTEENTH MAIN,2023.0,9.0,,CHEATING,12.9914,77.5404,-1
BAZAR STREET,2016.0,3.0,,CHEATING,12.9412,77.6079,-1
BAZAR STREET,2023.0,7.0,,CASES OF HURT,12.944,77.605,-1
BAZAR STREET,2017.0,1.0,,MISSING PERSON,12.9442,77.6087,-1
BB JUNCTION,2022.0,9.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9639,77.5695,-1
BBMP OFFICE,2021.0,2.0,,MOTOR VEHICLE ACCIDENTS FATAL,13.0095,77.6968,-1
BDA COMPLEX,2020.0,9.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9257,77.5609,-1
BEGGER COLONY,2023.0,8.0,,THEFT,12.9968,77.5235,-1
BELTHUR,2020.0,1.0,,CYBER CRIME,12.9954,77.7577,-1
BEML LAYOUT,2017.0,7.0,,CrPC,12.9993,77.5411,-1
BEML LAYOUT,2016.0,3.0,,CASES OF HURT,12.9938,77.548,-1
BEML LAYOUT,2023.0,8.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9906,77.544,-1
BEML Layout,2023.0,11.0,,MISSING PERSON,12.9923,77.5298,-1
BENSON TOWN,2017.0,5.0,,ROBBERY,12.9979,77.6029,-1
BERETENA AGRAHARA,2020.0,4.0,,MISSING PERSON,12.8549,77.6723,-1
