Area,Year,Month,Time,Crime Type,Latitude,Longitude
COOLIPURA,2021,3,,MISSING PERSON,13.1225,77.3824
COOLIPURA,2019,9,,CRIMINAL BREACH OF TRUST,13.1305,77.4131
CUBBONPET,2021,7,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9668,77.583
CUBBONPET,2021,9,,THEFT,12.9695,77.5836
CUBBONPET,2022,9,,CRIMINAL INTIMIDATION,12.968,77.5851
Cembridge Road,2023,11,,PUBLIC SAFETY,12.9754,77.6227
Central Street,2016,9,,ROBBERY,77.6157,12.9585
Central Street,2017,1,,THEFT,77.6148,12.9565
Central Street,2017,12,,THEFT,77.3641,12.5702
Central Street,2018,2,,THEFT,77.366,12.5711
Central Street,2017,3,,THEFT,77.6098,12.9515
Central division Limit,2023,12,,CYBER CRIME,12.9668,77.5872
Central division Limit,2023,12,,CYBER CRIME,12.9668,77.5872
Central division Limit,2023,11,,CYBER CRIME,12.9668,77.5872
Central division Limit,2024,3,,CYBER CRIME,12.4256,77.1235
Chamarajpet second crs to froth crs,2022,11,,THEFT,12.95,77.56
Chamarajpet second crs to froth crs,2021,1,,CRIMINAL INTIMIDATION,12.9676,77.5602
Chamundeshwari layout,2017,8,,CASES OF HURT,13.0686,77.5624
Chamundeshwari layout,2016,9,,CHEATING,13.0686,77.5624
Chamundipura,2017,6,,MISSING PERSON,13.0003,77.3113
Chamundipura,2022,7,,CASES OF HURT,13.0178,77.518
Chamundipura,2017,10,,CHEATING,13.01,77.3059
Chamundipura,2016,4,,THEFT,13.01,77.5235
Chandrappa Road,2019,5,,CHEATING,12.9953,77.5262
Channnahalli,2021,2,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.1843,77.6538
Chikkajala,2024,1,,CHEATING,13.1825,77.5897
Chokkasandra,2021,12,,THEFT,13.0312,77.5051
Chokkasandra,2020,12,,CASES OF HURT,12.6127,77.041
Chokkasandra,2022,8,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0245,77.5092
Chokkasandra,2021,1,,ROBBERY,13.023,77.504
Cholurpalya,2019,5,,THEFT,12.975,77.554
Cholurpalya,2022,11,,THEFT,12.9785,77.9491
Cholurpalya,2024,2,,KIDNAPPING AND ABDUCTION,12.9696,77.5662
Cholurpalya,2018,10,,THEFT,12.9668,77.5471
Church Street and Sriramanagari,2017,8,,THEFT,12.9512,77.6598
Church Street and Sriramanagari,2017,6,,CRIMES RELATED TO WOMEN,12.9695,77.6544
Cottonpet,2018,8,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9649,77.5682
Cottonpet,2017,12,,MOTOR VEHICLE ACCIDENTS FATAL,12.9611,77.5607
Cubbon Park,2022,8,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9683,77.589
D GROUP LAY OUT,2018,11,,MOLESTATION,12.9718,77.4996
D GROUP LAY OUT,2019,7,,CASES OF HURT,12.9744,77.4878
D SOZA NAGARA,2022,2,,CHEATING,12.9411,77.5397
DABASPETE,2023,4,,MISSING PERSON,12.5931,77.3533
DARGAJOGAHALALI,2021,4,,CRIMINAL TRESPASS,13.2805,77.486
DASANAPURA,2020,12,,CHEATING,13.0662,77.4427
DASANAPURA,2022,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0625,77.4366
DASANAPURA,2024,3,,THEFT,13.0624,77.4626
DASANAPURA,2020,7,,MISSING PERSON,13.0609,77.4281
DASAPPA HOSPITAL ROAD,2024,2,,PUBLIC SAFETY,12.8797,77.6358
DASAPPA METERNITY HOSPITAL,2023,10,,PUBLIC SAFETY,12.963,77.5836
DASARAHALLI,2020,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2844,77.7228
DCROSS,2021,5,,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,13.3114,77.5445
DCROSS,2020,2,,THEFT,13.3113,77.5416
DESHAPANDE GUTTAHALLI,2022,1,,CHEATING,12.8715,77.8082
DEVANAGUNDI,2021,1,,THEFT,12.9408,77.7803
DEVARABISANA HALLI,2023,7,,THEFT,12.9258,77.6924
DEVARABISANA HALLI,2022,6,,CASES OF HURT,12.9545,77.7027
DEVARACHIKKANAHALLI,2024,2,,THEFT,12.8686,77.3748
DEVASANDRA MAIN ROAD,2018,8,,CHEATING,13.0099,77.7028
DEVASANDRA MAIN ROAD,2017,5,,THEFT,13.0035,77.6984
DEVASANDRA MAIN ROAD,2018,10,,MISSING PERSON,36.5947,76.0291
DEVASANDRA MAIN ROAD,2023,10,,CHEATING,13.0045,77.7085
DHARMAPUA,2023,12,,RIOTS,13.2668,77.7748
DHARMARAYASWAMY TEMPLE ROAD,2021,9,,THEFT,12.7124,77.6967
DHARMARAYASWAMY TEMPLE ROAD,2024,3,,MISSING PERSON,12.7163,77.7082
DHARMARAYASWAMY TEMPLE ROAD,2020,8,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.7147,77.6966
DHARMARAYASWAMY TEMPLE ROAD,2022,1,,THEFT,12.692,77.7304
DHOBIGAT,2024,1,,CASES OF HURT,12.9572,77.5645
DINNUR,2020,8,,THEFT,12.9908,77.7319
DNR LAYOUT,2018,7,,CASES OF HURT,12.9988,77.5795
DNR LAYOUT,2018,5,,CASES OF HURT,12.9988,77.5795
DNR LAYOUT,2017,10,,ATTEMPT TO MURDER,12.9974,77.5809
DODANNA LAYOUT,2024,2,,CYBER CRIME,13.0057,77.3655
DODDA THOGURU M M SCHOOL ROAD,2022,2,,MISSING PERSON,12.846,77.6546
DODDABANAHALLY,2021,1,,THEFT,12.9961,77.7489
DODDABETTAHALLI,2023,8,,CYBER CRIME,13.1,77.54
DODDAGOWDANAPALYA,2019,3,,MISSING PERSON,77.5553,77.5553
DODDAGOWDANAPALYA,2019,5,,THEFT,77.5499,12.8988
DODDAHEJJAJI,2022,1,,CASES OF HURT,13.2674,77.43
DODDAHULLURU,2021,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0896,77.808
DODDAHULLURU,2022,4,,Karnataka State Local Act,13.0935,77.8355
DODDAMAVALLI,2023,11,,KARNATAKA POLICE ACT 1963,12.2959,77.5761
DODDANAKKUNDI,2023,11,,CYBER CRIME,12.9698,77.7033
DODDANAKKUNDI,2020,2,,CRIMES RELATED TO WOMEN,12.9625,77.7063
DODDANAKKUNDI,2023,9,,THEFT,12.957,77.6996
DODDANAKKUNDI,2022,2,,MOLESTATION,12.9518,77.6959
DODDANAKKUNDI,2023,12,,CHEATING,12.9739,77.6837
DODDANAKKUNDI,2024,1,,CHEATING,12.9655,77.7029
DODDANAKKUNDI,2023,12,,CYBER CRIME,12.9581,77.7091
DODDARAYAPPANAHALLI,2023,5,,RIOTS,13.3354,77.6361
DOMMASANDRA,2023,11,,CRIMINAL TRESPASS,12.8893,77.7593
DOMMASANDRA,2021,4,,CHEATING,12.845,77.7446
DOMMASANDRA,2019,3,,THEFT,12.8795,77.754
DOMMASANDRA,2021,7,,MOTOR VEHICLE ACCIDENTS FATAL,12.882,77.755
DUGGALAMMA LAYOUT,2023,11,,MISSING PERSON,13.0217,77.5157
DWARAKA NAGARA TO VENKATAPPA LAYOUT MORI,2023,12,,THEFT,12.9335,77.5357
Deconson Road,2023,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.982,77.6249
Deepanjali Nagar,2023,7,,THEFT,12.952,77.5369
Devanahalli by pass junction,2024,2,,NEGLIGENT ACT,13.0875,77.6376
Devanahalli by pass junction,2018,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2486,77.7155
Devanahalli by pass junction,2022,2,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2417,77.7137
Devanahalli by pass junction,2017,12,,NEGLIGENT ACT,13.2417,77.7137
Devanahalli by pass junction,2017,7,,NEGLIGENT ACT,13.2417,77.7137
Devanahalli by pass junction,2020,2,,NEGLIGENT ACT,13.2447,77.7132
Devanahalli by pass junction,2017,7,,NEGLIGENT ACT,13.2457,77.7128
Dhobighat,2017,12,,MISSING PERSON,77.6117,12.9815
Dodda Banasawadi,2023,9,,CASES OF HURT,13.0159,77.6529
Dodda Banasawadi,2023,11,,THEFT,13.1143,77.6474
Doddabommasandra,2024,2,,CYBER CRIME,13.0597,77.5642
Doddabommasandra,2016,6,,KIDNAPPING AND ABDUCTION,13.0632,77.5634
Doddan Layout,2024,3,,THEFT,12.9956,77.4948
Domlur Village,2019,1,,KIDNAPPING AND ABDUCTION,12.965,77.6339
EIGHTY FEET ROAD HANUMANTH NAGAR,2023,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9313,77.5514
ELECTRONIC CITY,2023,11,,CRUELTY BY HUSBAND,12.8525,77.6558
ERAMMA GARDEN,2020,8,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9499,77.6134
ERAMMA GARDEN,2023,9,,ROBBERY,12.9496,77.6164
ERAMMA GARDEN,2021,12,,BURGLARY - NIGHT,12.9491,77.6052
ESHWARI NAGARA,2023,12,,CRIMES RELATED TO WOMEN,12.3525,77.2452
EWS SECTOR,2023,8,,THEFT,12.888,77.5709
East Division PS Jurisdiction,2023,11,,CYBER CRIME,12.0989,77.6036
East Division PS Jurisdiction,2023,12,,CYBER CRIME,12.0989,77.6036
East Division PS Jurisdiction,2023,12,,CYBER CRIME,12.0989,77.6036
East Division PS Jurisdiction,2023,11,,CYBER CRIME,12.0989,77.6036
Eidga Ground,2022,11,,MISSING PERSON,12.9632,77.5534
Eidga Ground,2018,9,,MISSING PERSON,12.5735,77.3252
Eighth Block Jayanagar,2019,1,,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,12.9185,77.5874
Eighth Block Jayanagar,2020,7,,THEFT,12.2879,76.6334
Eighth Block Jayanagar,2018,7,,MURDER,12.9206,77.5206
Eighth Block Jayanagar,2017,4,,CASES OF HURT,12.9176,77.5774
Ejipura,2022,3,,MISSING PERSON,12.9515,77.625
Ejipura,2017,4,,THEFT,12.9499,77.6263
Ejipura,2017,10,,MISSING PERSON,12.9453,77.6286
Ejipura,2018,4,,MISSING PERSON,12.9462,77.6268
Ejipura,2021,8,,THEFT,12.947,77.625
Electronic City Main Gate,2016,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.5351,77.3833
Electronic City Main Gate,2017,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8476,77.6709
Electronic City Phase I,2023,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.6855,77.4714
Eshwari nagara,2017,4,,MISSING PERSON,12.9149,77.5635
FF COLONY SEVENTEENTH MAIN,2023,12,,Karnataka State Local Act,13.6566,77.2666
FOURTH BLOCK,2018,11,,MISSING PERSON,12.985,77.5578
FOURTH BLOCK,2017,7,,Karnataka State Local Act,12.9845,77.5565
FOURTH BLOCK NAGARABHAVI BEHIND SBI BANK,2018,10,,CRUELTY BY HUSBAND,12.9726,77.5143
FOURTH BLOCK NAGARABHAVI BEHIND SBI BANK,2019,5,,THEFT,12.978,77.5178
FRAZER TOWN,2024,1,,MISSING PERSON,12.9989,77.6091
FRAZER TOWN,2023,11,,ROBBERY,12.9992,77.6195
Fifth Block Jayanagar,2017,7,,ROBBERY,12.92,77.5836
Fifth Block Jayanagar,2021,10,,CRIMINAL TRESPASS,12.9348,77.5876
First Main Road K.P.Agrahara,2017,10,,CRIMINAL TRESPASS,12.9716,77.5626
First Main Road K.P.Agrahara,2024,2,,CYBER CRIME,12.969,77.5618
First circle,2022,2,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1959,77.6696
First circle,2019,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1979,77.6903
Flower Garden,2023,5,,THEFT,12.9479,77.5348
Fourth T Block Jayanagar,2019,11,,CASES OF HURT,12.8773,74.8732
Fourth T Block Jayanagar,2017,11,,CASES OF HURT,12.9199,77.5893
Fourth T Block Jayanagar,2019,9,,THEFT,12.9263,77.586
Friends Colony,2020,9,,CHILDREN ACT,12.937,77.6313
Friends Colony,2022,2,,KIDNAPPING AND ABDUCTION,12.9559,77.6154
G D PARK EXTN,2024,2,,CASES OF HURT,13.0026,77.5826
G D PARK EXTN,2018,12,,THEFT,13.0034,77.577
G.M Palya,2019,10,,CASES OF HURT,77.6671,12.9784
GANGAMMA CIRCLE JALAHALLI POST,2024,1,,CYBER CRIME,13.0921,77.5305
GANGANAGAR,2019,11,,THEFT,13.0233,77.59
GANGANAGAR,2023,3,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0223,77.5912
GANGANAGAR,2022,8,,THEFT,13.0173,77.5951
GANGANAGAR,2023,4,,MISSING PERSON,13.0206,77.5945
GANGANAGAR,2020,11,,MISSING PERSON,13.0205,77.5945
GANGONDANAHALLI,2022,10,,ATTEMPT TO MURDER,13.0277,77.465
GANGONDANAHALLI,2021,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9921,77.4698
GANGONDANAHALLI,2022,7,,BURGLARY - NIGHT,13.0308,77.4612
GANIGARAPETE,2022,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2973,77.5388
GARDEN VILLAS,2023,3,,KARNATAKA POLICE ACT 1963,12.982,77.5274
GAS,2024,2,,THEFT,12.9185,77.5266
GAYATHRI GATE,2017,4,,PUBLIC SAFETY,13.0101,77.5838
GAYATHRINAGAR,2017,10,,POCSO,77.5609,13.0026
GAYATHRINAGAR,2023,12,,POCSO,12.9965,77.5014
GAYATHRINAGAR,2023,1,,KIDNAPPING AND ABDUCTION,13.0002,77.5605
GEDDALAHALLI,2020,6,,POCSO,13.1392,77.3195
GEDDALAHALLI,2020,11,,CASES OF HURT,13.1534,77.3382
GEM PLAZA SAFINA FLAZA ANDREW'S CHURCH,2019,1,,THEFT,77.6072,12.9802
GIDDANAHALLI,2019,5,,MISSING PERSON,13.1579,77.9162
GIRINAGAR,2017,2,,CASES OF HURT,12.9403,77.5453
GIRIYAMMA CIRCEL,2023,11,,THEFT,13.2437,77.7142
GM PALYA,2021,7,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,77.6559,12.9765
GOKULA,2021,3,,THEFT,13.0411,77.5567
GONIGATTAPURA,2021,8,,MISSING PERSON,12.9122,77.776
GOPALAPURA,2024,1,,CASES OF HURT,12.9757,77.5615
GOTTIGERE,2017,1,,THEFT,12.5119,77.352
GOTTIGERE,2024,3,,CYBER CRIME,12.5456,77.2652
GUDUVANAHALLI,2020,8,,CASES OF HURT,13.3086,77.7256
GUNJUR BALAGERE GUNJUROALYA,2021,6,,Karnataka State Local Act,12.1996,77.7059
GUNJUR BALAGERE GUNJUROALYA,2022,9,,THEFT,12.918,77.7269
GUNJUR BALAGERE GUNJUROALYA,2017,1,,KIDNAPPING AND ABDUCTION,12.5552,77.4241
GUNJUR BALAGERE GUNJUROALYA,2017,7,,KIDNAPPING AND ABDUCTION,12.9207,77.7375
GUNJUR BALAGERE GUNJUROALYA,2023,7,,CYBER CRIME,12.9373,77.7056
GURAPPANA PALYA,2016,10,,THEFT,12.9181,77.6036
GURAPPANA PALYA,2016,3,,CHEATING,12.9192,77.61
GURAPPANA PALYA,2016,10,,THEFT,12.9173,77.6107
GURUDATTA LAYOUT,2023,11,,CRIMINAL TRESPASS,12.9179,77.5347
Gandhinagara,2024,2,,THEFT,13.0994,77.5953
Garudacharapalya,2023,11,,CYBER CRIME,12.9887,77.7005
Garvebhavipalya,2024,2,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.8991,77.633
Geleyara balaga,2023,12,,CRIMES RELATED TO WOMEN,13.0123,77.0245
Girinagar,2015,,,2 wheeler theft,12.8916715,77.5121741
Girinagar,2016,,,2 wheeler theft,12.9136978,77.5755933
Girinagar,2016,,,2 wheeler theft,12.898694,77.576426
Girinagar,2016,,,2 wheeler theft,12.9080514,77.5758748
Girinagar,2016,,,2 wheeler theft,12.7942903,77.6186244
Goodshed Road,2023,3,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9762,77.5718
Goodshed Road,2023,6,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.5447,77.5583
Goraguntepalya Circle,2016,9,,THEFT,77.5337,13.0289
Goraguntepalya Circle,2023,1,,ANIMAL,11.103,77.5286
Govindapura,2023,9,,ROBBERY,13.0264,77.6279
Govindapura,2024,2,,CYBER CRIME,13.0331,77.618
Govindarajanagar,2022,6,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9765,77.5351
Gowthampur,2018,10,,THEFT,12.9705,77.6316
Gowthampur,2019,5,,THEFT,12.9697,77.6302
Gubbalalla,2023,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8584,77.5566
Gubbalalla,2023,7,,PUBLIC SAFETY,12.8779,77.5426
Gupta Layout,2018,10,,THEFT,12.9178,77.5885
H.I.G COLONY,2018,7,,CASES OF HURT,13.0352,77.5781
H.I.G COLONY,2016,6,,CrPC,77.5709,13.0422
H.I.G COLONY,2021,1,,BURGLARY - NIGHT,13.0396,77.5669
HALENAHALLI,2022,5,,MURDER,13.2106,77.4061
HAMEEDKHAN GARDEN,2022,1,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9035,76.3899
HAMEEDKHAN GARDEN,2017,3,,CrPC,12.9577,77.585
HAMEEDKHAN GARDEN,2022,3,,COPY RIGHT ACT 1957,12.9577,77.5814
HANDENAHALLI,2023,7,,KIDNAPPING AND ABDUCTION,12.954,77.8286
HANUMANTHAPURA,2020,10,,MOTOR VEHICLE ACCIDENTS FATAL,13.2595,77.2101
HANUMANTHAPURA,2023,7,,MOTOR VEHICLE ACCIDENTS FATAL,13.208,77.2617
HANUMANTHAPURA,2021,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.208,77.2618
HANUMANTHAPURA,2020,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2305,77.2407
HANUMATHAPURA,2022,10,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9902,77.5654
HARAGADDE,2023,6,,CRIMINAL TRESPASS,12.7608,77.675
HARASHA LAYOUT,2022,11,,THEFT,12.9098,77.4803
HBR LAYOUT,2023,12,,THEFT,13.0377,77.6295
HBR Layout,2016,7,,CRIMES RELATED TO WOMEN,13.0388,77.6328
HEASRGHATTA MAIN ROAD,2023,12,,MOTOR VEHICLE ACCIDENTS FATAL,13.0826,77.4957
HEASRGHATTA MAIN ROAD,2018,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0648,77.5082
HEELALIGE,2022,3,,MISSING PERSON,12.7516,77.6899
HEELALIGE,2022,8,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7888,77.7047
HEGGADADEVANAPURA,2020,1,,CASES OF HURT,12.9891,77.4487
HEGGADADEVANAPURA,2021,1,,THEFT,13.0766,77.472
HEGGANAHALLI,2024,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0093,77.4955
HEGGANAHALLI,2016,7,,MOTOR VEHICLE ACCIDENTS FATAL,13.0452,77.5072
HEGGANAHALLI,2017,11,,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),13.1001,77.2953
HEGGANAHALLI,2017,1,,NEGLIGENT ACT,13.0251,77.5111
HEGGANAHALLI,2022,7,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.2177,77.6096
HEGGANAHALLI,2016,2,,ATTEMPT TO MURDER,13.0036,77.5081
HEGGANAHALLI,2016,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0225,77.5167
HEGGANAHALLI,2022,10,,CHEATING,13.0444,77.642
HEGGANAHALLI,2016,2,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0005,77.5208
HESARAGHATTA,2021,6,,Karnataka State Local Act,13.1152,77.4853
HESARUGHATTA,2018,5,,MISSING PERSON,13.082,77.7728
HIGH GROUNDS,2024,2,,PUBLIC SAFETY,12.9845,77.5882
HINDIGANALA,2022,5,,MOTOR VEHICLE ACCIDENTS FATAL,13.2242,77.9166
HINDIGANALA,2021,7,,CHILDREN ACT,13.2198,77.8824
HMT BLOCK,2018,9,,ROBBERY,13.0207,77.594
HMT COLONY,2018,7,,CASES OF HURT,13.0467,77.5347
HMT FACTORY.,2020,12,,KIDNAPPING AND ABDUCTION,13.0486,77.5355
HONGASANDRA,2023,12,,MISSING PERSON,12.8885,77.6357
HONNENAHALLI.,2020,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2143,77.2405
HOODI ROAD,2016,5,,CRIMINAL INTIMIDATION,13.0215,77.6945
HOODI ROAD,2022,8,,THEFT,13.0032,77.6945
HOODI ROAD,2018,8,,KIDNAPPING AND ABDUCTION,13.0104,77.7028
HOODI ROAD,2017,3,,MISSING PERSON,13.0257,77.7137
HOODI ROAD,2016,4,,MISSING PERSON,77.6984,13.0056
HOPE FORM TPL WHITEFIELD MAIN ROAD,2021,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9839,77.7524
HOSA ROAD,2023,11,,IMMORAL TRAFFIC,12.8493,77.6481
HOSA ROAD JUNCTION,2021,6,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.8744,77.6404
HOSAHALLI,2022,11,,BURGLARY - NIGHT,13.4389,77.4594
HOSAKOTE TOWN,2022,4,,ATTEMPT TO MURDER,13.0589,77.8082
HOSAKOTE TOWN,2020,2,,MISSING PERSON,13.0722,77.7866
HOSAKOTE TOWN,2021,4,,ARSON,13.0802,77.8269
HOSAKOTE TOWN,2023,9,,CHEATING,13.0782,77.7888
HOSAKOTE TOWN,2021,3,,SCHEDULED CASTE AND THE SCHEDULED TRIBES,13.0772,77.7915
HOSAKOTE TOWN,2021,1,,THEFT,13.0744,77.7805
HOSAKOTE TOWN,2022,4,,THEFT,13.0712,77.7851
HOSAKOTE TOWN,2022,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0592,77.7716
HOSAKOTE TOWN,2020,3,,MISSING PERSON,13.06,77.8082
HOSAKOTE TOWN,2020,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9336,77.5999
HOSAKOTE TOWN,2020,8,,MOTOR VEHICLE ACCIDENTS FATAL,13.0615,77.7725
HOSAKOTE TOWN,2020,9,,MISSING PERSON,13.0723,77.7944
HOSAKOTE TOWN,2024,2,,CHEATING,13.0386,77.4129
HOSAPALYA,2021,12,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.8938,77.6476
HSR Layout,2023,7,,NEGLIGENT ACT,12.9156,77.6381
HSR Layout,2019,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9144,77.6382
HULIMAVU GATE,2024,2,,THEFT,12.8793,77.6037
HULIMAVU GATE,2022,11,,ARSON,12.8801,77.603
HULIMAVU GATE,2024,2,,IMMORAL TRAFFIC,12.8729,77.5883
HULIMAVU GATE,2016,2,,MISSING PERSON,12.5325,77.3548
HULIMAVU GATE,2016,6,,CrPC,12.5371,77.3643
HULIMAVU GATE,2021,3,,ATTEMPT TO MURDER,12.8865,77.6043
HULIMAVU GATE,2016,5,,COPY RIGHT ACT 1957,12.5315,77.369
HURULAGURKI,2023,8,,ATTEMPT TO MURDER,13.3321,77.7215
HURULICHIKKANAHALLI,2020,1,,BURGLARY - NIGHT,13.0878,77.5311
Hanumantha Nagar,2018,,,2 wheeler theft,12.9083539,77.5989745
Hanumantha Nagar,2018,,,2 wheeler theft,12.930033,77.569549
Hanumantha Nagar,2018,,,2 wheeler theft,12.939733,77.585277
Hanumantha Nagar,2019,,,2 wheeler theft,53.87903,2.76644
Hanumantha Nagar,2015,,,2 wheeler theft,12.89047086,77.57081006
Havanru Badavane,2021,1,,CRIMES RELATED TO WOMEN,13.0306,77.5579
Havanru Badavane,2022,4,,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),13.0354,77.525
Havanur Circle,2018,12,,THEFT,12.9887,77.5658
Hebbala Fly over,2023,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0668,77.5932
Hebbala village,2020,2,,ATTEMPT TO MURDER,13.0358,77.597
Hebbala village,2023,8,,MOLESTATION,13.0384,77.5897
Hebbala village,2022,3,,RAPE,13.0366,77.5896
Hennur Bande.,2023,10,,CYBER CRIME,13.0261,77.6519
Herohalli,2023,12,,MISSING PERSON,12.5912,77.2929
Hongasandra,2021,4,,SUICIDE,12.9015,77.6267
Honnenahalli,2022,4,,POCSO,13.1601,77.5642
Hosaguddahalli Junction,2021,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9432,77.5261
Hosaguddahalli Junction,2021,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9383,77.5217
Hosaguddahalli Junction,2018,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9566,77.5482
Hosakerehalli,2023,9,,THEFT,12.9369,77.5478
Hunnasehalli,2023,6,,MISSING PERSON,13.0522,77.7992
IBRAHIM SAHEB STREET,2018,5,,CrPC,77.6102,12.9808
IBRAHIM SAHEB STREET,2018,2,,CrPC,77.6104,12.9823
ICICI Bank Circle,2017,8,,CrPC,12.9309,77.5839
ICICI Bank Circle,2024,3,,THEFT,12.9341,77.5829
IGGALURU,2024,2,,MISSING PERSON,12.793,77.7049
IGGALURU,2020,4,,MISSING PERSON,12.7934,77.7101
IGGALURU,2019,6,,THEFT,12.7967,77.7098
IGGALURU,2023,8,,THEFT,12.8021,77.709
IGGALURU,2022,6,,THEFT,12.8024,77.7047
IGGALURU,2023,3,,MOTOR VEHICLE ACCIDENTS FATAL,12.8926,77.7048
IGGALURU,2019,10,,MISSING PERSON,12.7868,77.7057
IGGALURU,2019,1,,THEFT,12.794,77.7092
IGGALURU,2019,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8043,77.7008
INDIAN INSTITUTE OF SCIENCE,2021,10,,CRIMINAL INTIMIDATION,13.0106,77.5708
INDIRA COLONY,2023,11,,THEFT,12.9598,77.5308
INDIRA COLONY,2023,2,,CHEATING,12.9585,77.5262
INDIRA COLONY,2018,9,,CRIMES RELATED TO WOMEN,12.9502,77.5271
INDIRA COLONY,2021,7,,THEFT,12.9534,77.5292
INDIRA COLONY,2017,7,,THEFT,12.9566,77.5269
INDIRANAGAR,2023,8,,THEFT,12.9873,77.6352
INDIRANAGAR,2023,10,,MISSING PERSON,12.9846,77.6467
INDIRANAGARA,2020,12,,AFFRAY,13.0993,77.3947
INDIRANGARA,2023,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.65,77.65
INDLAVADI,2023,5,,CASES OF HURT,12.7072,77.6553
INDUSTRIAL AREA,2024,2,,KIDNAPPING AND ABDUCTION,13.1,77.584
ISRO LAYOUT,2023,8,,KIDNAPPING AND ABDUCTION,12.906,77.5698
ITI LAYOUT,2022,7,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9415,77.4839
ITTAMADU,2017,5,,SCHEDULED CASTE AND THE SCHEDULED TRIBES,12.9311,77.5549
ITTAMADU,2019,1,,THEFT,12.9218,77.5425
Ibbalurr,2021,10,,MISSING PERSON,12.8885,77.673
Ibbalurr,2023,2,,FORGERY,12.903,77.6622
Ibbalurr,2017,10,,THEFT,12.9198,77.6663
Industrial town,2023,12,,THEFT,12.9792,77.5463
Isro Layout,2018,4,,THEFT,77.5727,12.9094
Ist Main,2017,4,,PUBLIC SAFETY,12.5736,77.3323
Ist Main,2017,1,,PUBLIC SAFETY,12.5735,77.3322
Ist Main,2017,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.5737,77.3343
J C NAGAR,2017,10,,PUBLIC SAFETY,13.0061,77.593
J C NAGARA,2017,1,,BURGLARY - NIGHT,77.5337,13.0012
